a cappella	without accompaniment
primal	first, beginning
primate	head, master
primogeniture	first-born child
primp	groom
princely	regal, generous
prismatic	many-colored, sparkling
pristine	pure, unspoiled
privation	hardship
privy	aware of private matters
probe	examine
probity	integrity
problematic	uncertain, difficult
proboscis	snout
procedure	method, process
proceeds	profit 
proclaim	announce 
proclivity	inclination 
procreate	beget
proctor	supervise 
procure	acquire 
procurer	pander 
prod	urge 
prodigal	wasteful 
prodigious	marvelous, enormous 
prodigy	a person with extraordinary ability or talent 
profane	blasphemous
profess	affirm, admit
proffer	bring forward for consideration
proficient	skillful
profiteer	extortionist
profligate	licentious, prodigal
profound	deep, knowledgeable
profusion	overabundance 
progenitor	ancestor 
progeny	children propound propose
prognosis	forecast 
prognosticate	foretell 
progressive	advancing, liberal 
proletariat	working class 
proliferate	increase rapidly 
prolific	fruitful, productive 
prolix	long-winded 
prologue	introduction
prolong	lengthen in time
promenade	stroll, parade
promethean	inspirational
promiscuous	sexually indiscreet
promontory	headland, cape
prompt	induce
prompter	reminder
promulgate	publish, disseminate
prone	inclined, predisposed
propaganda	publicity, misinformation
propellant	rocket fuel
propensity	inclination
prophet	prognosticator
prophylactic	preventive
propinquity	nearness
propitiate	satisfy
propitious	auspicious, favorable
proponent	supporter, advocate
proportionate	commensurate
proposition	offer, proposal
proprietor	manager, owner
propriety	decorum
prosaic	uninspired, flat
proscenium	platform, rostrum
proscribe	prohibit
proselytize	recruit, convert
prosody	study of poetic structure
prospective	expected, imminent 
prospectus	brochure 
prostrate	supine 
protagonist	main character in a story
protean	changing readily
protégé	ward, pupil
protocol	code of diplomatic etiquette
proton	particle
protract	prolong
protuberance	bulge
provender	food
proverb	maxim
proverbial	well-known
providence	foresight, divine protection
provident	having foresight, thrifty 
providential	fortunate 
province	bailiwick, district 
provincial	intolerant, insular 
provisional	temporary 
proviso	stipulation 
provisory	conditional 
provocation	incitement 
provocative	titillating 
provoke	incite
prowess	strength, expertise
proximity	nearness
proxy	substitute, agent
prude	puritan
prudence	discretion, carefulness
prudent	cautious, using good judgment
prudish	puritanical 
prurient	lewd 
pseudo	false 
pseudonym	alias 
psychic	pertaining the psyche or mind
psychopath	madman
psychotic	demented
puberty	adolescence
puckish	impish, mischievous
puerile	childish
pugilism	boxing
pugnacious	combative
puissant	strong
pulchritude	beauty
pulp	paste, mush
pulpit	platform, priesthood
pulsate	throb
pulverize	crush
pun	wordplay
punctilious	meticulous
pundit	learned or politically astute person
pungent	sharp smell or taste
punitive	punishing
puny	weak, small
purblind	obtuse, stupid
purgative	cathartic, cleansing
purgatory	limbo, netherworld
purge	cleanse, remove
puritanical	prim
purlieus	environs, surroundings
purloin	steal
purport	claim to be
purported	rumored 
purposeful	determined 
pursuant	following, according 
purvey	deliver, provide 
purview	range of understanding, field 
pusillanimous	cowardly 
putative	reputed 
putrefy	decay 
putsch	a sudden attempt to overthrow a government 
pygmy	dwarf
pyrotechnics	fireworks
pyrrhic	a battle won with unacceptable losses
quack	charlatan quiddity essence, an unimportant or trifling distinction
quadrennial	occurring every four years 
quadrille	square dance
quadruped	four foot animal
quaff	drink
quagmire	difficult situation 
quail	shrink, cower 
quaint	old-fashioned, charming 
qualified	limited 
qualms	misgivings 
quandary	dilemma 
quantum	quantity, particle 
quarantine	detention, confinement 
quarry	prey, game
quarter	residence, district
quash	put down, suppress
quasi	seeming, almost
quaver	tremble
quay	wharf
queasy	squeamish
queer	odd
quell	suppress, allay
quench	extinguish, slake
querulous	complaining
questionnaire	survey, feedback
queue	line
quibble	bicker
quicken	revive, hasten
quiescent	still, motionless
quietus	a cessation of activity
quill	feather, pen
quip	joke
quirk	eccentricity, a strange and unexpected turn of events
quiver	tremble
quixotic	impractical, romantic
quizzical	odd, questioning
quorum	the minimum number people who must be present to hold a meeting
quota	a share or proportion
quotidian	daily
rabble	crowd
rabid	mad, furious
racketeer	gangster, swindler
raconteur	storyteller
radical	revolutionary
raffish	rowdy, dashing
rail	rant, harangue
raiment	clothing
rake	womanizer
rally	assemble
rambunctious	boisterous
ramification	consequence
rampage	run amuck
rampant	unbridled, raging
ramrod	rod
rancid	rotten
rancor	resentment
randy	vulgar
rankle	cause bitterness, resentment
rant	rage, scold
rapacious	grasping, avaricious
rapidity	speed
rapier	sword
rapine	plunder
rapport	affinity, empathy
rapprochement	reconciliation
rapture	bliss
rash	hasty, brash
rasp	scrape
ratify	approve
ration	allowance, portion
rationale	justification
ravage	plunder, ruin
ravish	captivate, charm
raze	destroy or level a building
realm	kingdom, domain
realpolitik	cynical interpretation of politics
reap	harvest
rebuff	reject, snub
rebuke	criticize, reprimand
rebus	picture puzzle
rebuttal	reply, counterargument
recalcitrant	stubbornly resisting the authority of another
recant	retract a previous statement
recapitulate	restate, summarize
recede	move back
receptacle	container
receptive	open to ideas
recidivism	habitual criminal activity
recipient	one who receives
reciprocal	mutual, return in kind
recital	performance, concert
recitation	recital, lesson
reclusive	solitary 
recoil	flinch, retreat 
recollect	remember 
recompense	repay, compensate 
reconcile	adjust, balance 
recondite	mystical, profound 
reconnaissance	surveillance 
reconnoiter	to survey, to scout (especially for military purposes) 
recount	recite
recoup	recover
recourse	appeal, resort
recreant	cowardly
recrimination	countercharge, retaliation
recruit	draftee
rectify	correct, to make right
recumbent	reclining
recuperation	recovery
recur	repeat, revert
redeem	buy back, justify, restore yourself to favor or to good opinion
redeemer	savior
redemption	salvation
redolent	fragrant
redoubt	fort
redoubtable	formidable, steadfast
redress	restitution, compensation
redundant	repetitious
reek	smell
reel	stagger, to lurch backward as though struck by a blow
referendum	vote
refined	purified, cultured
reflux	ebb
refraction	bending, deflection
refractory	obstinate, disobedient
refrain	abstain
refurbish	remodel, renovate
refute	disprove, contradict
regal	royal
regale	entertain
regalia	emblems
regime	a government 
regiment	infantry unit 
regrettable	lamentable, unfortunate 
regurgitate	vomit, repeat
rehash	wearily discuss again
reign	rule, influence
rein	curb, restrain 
reincarnation	rebirth 
reiterate	repeat, say again 
rejoice	celebrate 
rejoinder	answer, retort 
rejuvenate	make young again
relapse	recurrence (of illness)
relegate	assign to an inferior position
relent	soften, yield 
relentless	unstoppable 
relic	antique 
relinquish	release, renounce 
relish	savor 
remedial	corrective 
remiss	negligent 
remit	forgive, send payment 
remnant	residue, fragment 
remonstrance	protest 
remorse	guilt 
remuneration	compensation 
renaissance	rebirth 
renascent	reborn 
rend	to tear apart 
render	deliver, provide 
rendezvous	a meeting 
rendition	version, interpretation 
renege	break a promise 
renounce	disown 
renown	fame
rent	tear, rupture
reparation	amends, atonement
repartee	witty conversation
repatriate	to send back to the native land
repellent	causing aversion
repent	atone for
repercussion	consequence
repertoire	stock of works
repine	fret
replenish	refill
replete	complete
replica	copy
replicate	duplicate
repose	rest
reprehensible	blameworthy
repress	suppress
reprieve	temporary suspension
reprimand	rebuke
reprisal	retaliation
reprise	repetition
reproach	blame
reprobate	miscreant
reprove	rebuke
repudiate	disavow
repugnant	distasteful, revolting
repulse	repel
repulsive	repugnant
repute	status, reputation, esteem 
reputed	supposed, presumed, alleged 
requiem	rest, a mass for the dead 
requisite	necessary 
requisition	order, formal demand 
requite	to return in kind 
rescind	revoke 
reserve	self-control 
reside	dwell 
residue	remaining part 
resigned	accepting of a situation 
resilience	ability to recover from an illness or a setback revamp recast
resolute	determined
resolution	determination
resolve	determination
resonant	reverberating
resort	recourse
resound	echo
resourceful	inventive, skillful
respectively	in that order
respire	breathe
respite	rest, temporary delay
resplendent	shining, splendid
restitution	reparation, amends
restive	nervous, uneasy
resurgence	revival
resurrection	rebirth
resuscitate	revive
retain	keep
retainer	advance fee
retaliate	revenge
retch	vomit
reticent	reserved
retiring	modest, unassuming
retort	quick reply
retrench	cut back, economize
retribution	reprisal
retrieve	reclaim
retrograde	regress
retrospective	reminiscent, display
reveille	bugle call
revel	frolic, take joy in
revelry	merrymaking
revenue	income
revere	honor
reverent	respectful
reverie	daydream
revert	return to a former state
revile	denounce, defame
revision	new version
revive	renew
revoke	repeal
revulsion	aversion
rhapsody	ecstasy
rhetoric	elocution, grandiloquence
rheumatism	inflammation
ribald	coarse, vulgar
rickety	shaky, ramshackle 
ricochet	carom, rebound 
rife	widespread, abundant 
riffraff	dregs of society 
rifle	search through and steal 
rift	a split, an opening, disagreement 
righteous	upright, moral 
rigor	harshness, precise and exacting 
rime	crust 
riposte	counterthrust 
risible	laughable 
risqué	off-color, racy 
rivet	engross 
robust	vigorous
rogue	scoundrel
roister	bluster
romp	frolic
roseate	rosy, optimistic
roster	list of people
rostrum	podium
roué	libertine
rouse	awaken, provoke
rout	vanquish, cause to retreat
rubicund	ruddy complexion
ruck	the common herd
rudiment	beginning, kernel
rue	regret
ruffian	brutal person
ruminate	ponder
rummage	hunt, grope
runel	stream
ruse	trick
rustic	rural
Sabbath	day of rest
sabbatical	vacation
saber	sword
sabotage	treason, destruction
saccharine	sugary, overly sweet tone
sacerdotal	priestly
sack	pillage
sacrament	rite
sacred	cow idol, taboo
sacrilege	blasphemy
sacrosanct	sacred
saddle	encumber 
sadist	one who takes pleasure in hurting others 
safari	expedition
saga	story
sagacious	wise
sage	wise person
salacious	licentious
salient	prominent
saline	salty
sallow	sickly complected
sally	sortie, attack
salutary	good, wholesome
salutation	salute, greeting
salvation	redemption
salve	medicinal ointment
salvo	volley, gunfire
sanctify	consecrate
sanctimonious	self-righteous
sanction	approval
sanctuary	refuge
sang-froid	coolness under fire
sanguinary	gory, murderous
sanguine	cheerful
sans	without
sapid	interesting
sapient	wise
sarcastic,	spiteful
sarcophagus	stone coffin
sartorial	pertaining to clothes
satanic	pertaining to the Devil
satchel	bag
sate	satisfy fully
satiate	satisfy fully
satire	ridicule
saturate	soak
saturnine	gloomy
satyr	demigod, goat-man
saunter	stroll
savanna	grassland
savant	scholar
savoir-faire	tact, polish
savor	enjoy, relish
savory	appetizing
savvy	perceptive, shrewd
scabrous	difficult
scant	inadequate, meager
scapegoat	one who takes blame for others
scarify	criticize
scathe	injure, denounce
scepter	a rod, staff 
scheme	plot, system, diagram 
schism	rift 
scintilla	speck
scintillate	sparkle
scion	offspring
scoff	jeer, dismiss 
scone	biscuit 
scorn	disdain, reject 
scornful	scornful, sarcastic
scoundrel	unprincipled person 
scour	clean by rubbing, search 
scourge	affliction 
scruples	misgivings 
scrupulous	principled, fastidious 
scrutinize	examine closely 
scurf	dandruff 
scurrilous	abusive, insulting 
scurry	move quickly
scuttle	to sink (a ship)
scythe	long, curved blade
sear	burn
sebaceous	like fat
secede	withdraw 
secluded	remote, isolated 
seclusion	solitude 
sectarian	denominational 
secular	worldly, nonreligious 
secure	make safe 
sedation	state of calm 
sedentary	stationary, inactive 
sedition	treason, inciting rebellion 
seduce	lure 
sedulous	diligent
seedy	rundown, ramshackle
seemly	proper, attractive
seethe	fume, resent
seismic	pertaining to earthquakes
seismology	study of earthquakes
self-effacing	modest
semantics	study of word meanings
semblance	likeness
seminal	fundamental, decisive
semper	fidelis always loyal
senescence	old age
senescent	aging
seniority	privilege due to length of service
sensational	outstanding, startling
sensible	wise, prudent
sensory	relating to the senses
sensualist	epicure
sensuous	appealing to the senses, enjoying luxury
sententious	concise
sentient	conscious
sentinel	watchman
sepulcher	tomb
sequacious	dependent
sequel	continuation, epilogue
sequester	segregate
seraphic	angelic
serendipity	a knack for making fortunate discoveries
serene	peaceful
serpentine	winding and twisting
serried	saw-toothed 
serum	vaccine 
servile	slavish 
servitude	forced labor 
sessile	permanently attached 
session	meeting 
settee	seat, sofa 
sever	cut in two 
severance	division 
shallot	onion 
sham	pretense, imposter 
shambles	disorder, mess 
shard	sharp fragment of glass 
sheen	luster 
sheepish	shy, embarrassed 
shibboleth	password
shirk	evade (work)
shoal	reef 
shoring	supporting 
shortcomings	personal deficiencies 
shrew	virago 
shrewd	clever, cunning 
shrill	high-pitched 
shun	avoid, spurn 
shunt	turn aside 
shyster	unethical lawyer 
sibilant	a hissing sound 
sibling	brother or sister 
sickle	semicircular blade
sidereal	pertaining to the stars
sidle	move sideways, slither
siege	blockade
sierra	mountain range
sieve	strainer
signatory	signer
signet	a seal
silhouette	outline, profile
silo	storage tower
simian	monkey
simile	figure of speech
simper	smile, smirk
simulacrum	vague likeness
sinecure	position with little responsibility
sinewy	fibrous, stringy
singe	burn just the surface of something
singly	one by one, individually
singular	unique, extraordinary
sinister	evil, malicious
sinistral	left-handed
siphon	extract, tap
sire	forefather, to beget
siren	temptress
site	location
skeptical	doubtful
skinflint	miser
skirmish	a small battle
skittish	excitable, wary, jumpy 
skulk	sneak about snide 
skullduggery	trickery 
slake	quench 
slander	defame 
slate	list of candidate 
slaver	drivel, fawn 
slay	kill 
sleight	dexterity, skill 
slew	an abundance
slither	slide, slink
sliver	fragment, shaving 
slogan	motto
sloth	laziness
slovenly	sloppy
smattering	superficial knowledge
smelt	refine metal
smirk	smug look
smite	strike, afflict
smock	apron
smooth,	charming
snare	trap
snippet	morsel, small piece
snivel	whine, sniff
snub	ignore, slight
snuff	extinguish
sobriety	composed, abstinent, sober
sobriquet	nickname
socialite	one who is prominent in society
sociology	study of society
sodality	companionship
sodden	soaked
sojourn	trip, stopover
solace	consolation, comfort
solder	fuse, weld
solecism	ungrammatical construction
solemn	serious, somber
solemnity	seriousness
solicit	request
solicitous	considerate, concerned 
soliloquy	monologue 
solstice	furthest point 
soluble	dissolvable 
solvent	financially sound 
somatic	pertaining to the body 
somber	gloomy, solemn 
somnambulist	sleepwalker 
somnolent	sleepy 
sonnet	short poem 
sonorous	resonant, majestic 
sop	morsel, compensation, offering 
sophistry	specious reasoning 
soporific	sleep inducing 
soprano	high female voice 
sordid	foul, ignoble 
sorority	sisterhood 
soubrette	actress, ingenue 
souse	a drunk 
sovereign	monarch spume foam, froth
spar	fight spurious false, counterfeit
spasmodic	intermittent, fitful 
spate	sudden outpouring 
spawn	produce 
specimen	sample 
specious	false but plausible reasoning 
spectacle	public display 
spectral	ghostly 
spectrum	range, gamut
speculate	conjecture
speleologist	one who studies caves
spew	eject
spindle	shaft
spindly	tall and thin
spinster	old maid
spire	pinnacle
spirited	lively
spirituous	alcohol, intoxicating
spite	malice, grudge
spittle	spit
splay	spread apart
spleen	resentment, wrath
splenetic	peevish
splurge	indulge
spontaneous	extemporaneous
sporadic	occurring irregularly
sportive	playful
spry	nimble
spurn	to reject a person with scorn
squalid	filthy
squall	rain storm
squander	waste
squelch	crush, stifle
stagnant	stale, motionless
staid	demure, sedate
stalwart	pillar, strong, loyal 
stamina	vigor, endurance
stanch	loyal 
stanchion	prop, foundation
stanza	division of a poem
stark	desolate
startle	surprise 
stately	impressive, noble 
static	inactive, immobile 
statue	regulation 
staunch	loyal 
stave	ward off 
steadfast	loyal 
stealth	secrecy, covertness 
steeped	soaked, infused 
stenography	shorthand 
stentorian	loud or declamatory in tone 
sterling	high quality 
stern	strict 
stevedore	longshoreman 
stifle	suppress 
stigma	mark of disgrace 
stiletto	dagger style
stilted	formal, stiff 
stimulate	excite suave 
stint	limit, assignment 
stipend	payment 
stipulate	specify, arrange 
stodgy	stuffy, pompous 
stoic	indifferent to pain or pleasure 
stoke	prod, fuel stole long scarf 
stolid	impassive 
stout	stocky 
strait	distress 
stratagem	trick, military tactic
stratify	form into layers
stratum	layer
striate	to mark with stripes
stricture	censure, restriction
strife	conflict
striking	impressive, attractive
stringent	severe, strict
strive	endeavor
studious	diligent
stultify	inhibit, enfeeble
stunted	arrested development
stupefy	deaden, dumfound
stupendous	astounding
stupor	lethargy
stylize	formalize, artificial artistic
stymie	hinder, thwart
sub rosa	in secret
subcutaneous	beneath the skin
subdue	conquer
subjugate	suppress
sublet	subcontract
sublimate	to redirect forbidden impulses (usually sexual) into socially accepted activities
sublime	lofty, excellent
sublunary	earthly
submit	yield, acquiesce
subordinate	lower in rank 
subsequent	succeeding, following 
subservient	servile, submissive 
subside	diminish 
subsidiary	subordinate 
subsidize	financial assistance 
substantiate	verify 
substantive	substantial 
subterfuge	cunning, ruse 
subterranean	underground 
subvert	undermine 
succor	help, comfort 
succulent	juicy, delicious 
succumb	yield, submit 
suffice	adequate 
suffrage	vote 
suffuse	pervade, permeate 
suggestive	thought-provoking, risqué
sullen	sulky, sour 
sully	stain 
sultry	sweltering 
summon	call for, arraign 
sumptuous	opulent, luscious 
sunder	split 
sundry	various 
superb	excellent 
supercilious	arrogant 
supererogatory	wanton, superfluous 
superfluous	overabundant 
superimpose	cover, place on top of
superintend	supervise
superlative	superior
supernumerary	subordinate
supersede	supplant
supervene	ensue, follow
supervise	oversee
supine	lying on the back
supplant	replace
supplication	prayer
suppress	subdue
surfeit	overabundance
surly	rude, crass
surmise	to guess
surmount	overcome
surname	family name
surpass	exceed, excel
surreal	dreamlike
surreptitious	secretive
surrogate	substitute
surveillance	close watch
susceptible	vulnerable
suspend	stop temporarily
sustenance	food
susurrant	whispering
suture	surgical stitch
svelte	slender
swank	fashionable
swarthy	dark (as in complexion)
swatch	strip of fabric 
systole	heart contraction
sweltering	hot
swivel	a pivot
sybarite	pleasure-seeker 
tabernacle	temple
sycophant	flatterer, flunky 
table	postpone
syllabicate	divide into syllables 
tableau	scene, backdrop
syllabus	schedule 
taboo	prohibition
sylph	a slim, graceful girl 
tabulate	arrange
sylvan	rustic 
tacit	understood without being spoken
symbiotic	cooperative, working in close association 
taciturn	untalkative
symmetry	harmony, congruence 
tactics	strategy
symposium	panel (discussion) 
tactile	tangible
symptomatic	indicative 
taint	pollute
synagogue	temple 
talion	punishment
syndicate	cartel 
tally	count
syndrome	set of symptoms 
talon	claw
synod	council 
tandem	two or more things together
synopsis	brief summary 
tang	strong taste
synthesis	combination 
tangential	peripheral
tangible	touchable 
tentative	provisional
tantalize	tease 
tenuous	thin, insubstantial
tantamount	equivalent 
tenure	status given after a period of time
taper	candle
tariff	tax on imported or exported goods
tepid	lukewarm
terminal	final
tarn	small lake 
terminology	nomenclature
tarnish	taint 
ternary	triple
tarry	linger 
terpsichorean	related to dance
taurine	bull-like 
terrain	the feature of land
taut	tight 
terrapin	turtle
tautological	repetitious 
terrestrial	earthly
tawdry	gaudy terse concise
technology	body of knowledge 
testament	covenant
tedious	boring, tiring 
testy	petulant
teem	swarm, abound 
tether	tie down
temerity	boldness 
theatrics	histrionics
temperate	moderate 
theologian	one who studies religion
tempest	storm 
thesaurus	book of synonyms
tempestuous	agitated 
thesis	proposition, topic
tempo	speed thespian actor
temporal	pertaining to time 
thews	muscles
tempt	entice thorny difficult
tenable	defensible, valid 
thrall	slave
tenacious	persistent 
threadbare	tattered
tendentious	biased 
thrive	prosper
tenement	decaying apartment building 
throes	anguish
tenet	doctrine throng crowd
tensile	stretchable
throttle	choke
thwart	to foil
tiara	crown 
topography	science of map making
tidings	news, information 
torment	harass
tiff	fight 
torpid	lethargic, inactive
timbre	tonal quality, resonance 
torrid	scorching, passionate
timorous	fearful, timid 
torsion	twisting
tincture	trace, vestige, tint 
torus	doughnut shaped object
tinsel	tawdriness 
totter	stagger
tirade	scolding speech 
touchstone	standard
titan	accomplished person 
tousled	disheveled
titanic	huge 
tout	praise, brag
titer	laugh nervously 
toxicologist	one who studies poisons
tithe	donate one-tenth 
tractable	docile, manageable
titian	auburn 
traduce	slander
titillate	arouse 
tranquilize	calm, anesthetize
titular	in name only, figurehead 
transcribe	write a copy
toady	fawner, sycophant 
transfigure	transform, exalt
tocsin	alarm bell, signal 
transfix	impale
toil	drudgery 
transfuse	insert, infuse
tome	large book 
transgression	trespass, offense
tonal	pertaining to sound 
transient	fleeting, temporary
transitory	fleeting 
tumefy	swell
translucent	clear, lucid 
tumult	commotion
transpire	happen 
turbid	muddy, clouded
transpose	interchange 
turgid	swollen
trauma	injury 
turpitude	depravity
travail	work, drudgery 
tussle	fight
traverse	cross 
tussock	cluster of glass
travesty	caricature, farce 
tutelage	guardianship
treatise	book, dissertation 
twain	two
trek	journey 
twinge	pain
trenchant	incisive, penetrating 
tyrannical	dictatorial
trepidation	fear 
tyranny	oppression
triad	group of three 
tyro	beginner
tribunal	court
tributary	river
trite	commonplace, insincere
troglodyte	cave dweller
trollop	harlot
troublous	disturbed
trounce	thrash
troupe	group of actors
truckle	yield
truculent	fierce, savage
trudge	march, slog
truism	self-evident truth
truncate	shorten
truncheon	club
tryst	meeting, rendezvous
tumbler	drinking glass
ubiquitous	omnipresent, pervasive
ulterior	hidden, covert
ultimatum	demand
ululate	howl, wail
umbrage	resentment
unabashed	shameless, brazen
unabated	ceaseless
unaffected	natural, sincere
unanimity	agreement
unassuming	modest
unavailing	useless, futile
unawares	suddenly, unexpectedly
unbecoming	unfitting
unbridled	unrestrained
uncanny	mysterious, inexplicable 
unflappable	not easily upset
unconscionable	unscrupulous 
unfrock	discharge
uncouth	uncultured, crude 
unfurl	open up, spread out
unctuous	insincere 
ungainly	awkward
undermine	weaken 
uniformity	sameness
underpin	support 
unilateral	action taken by only one party
underscore	emphasize
understudy	a stand-in
underworld	criminal world
unimpeachable	exemplary
unison	together
underwrite	agree to finance, guarantee 
unkempt	disheveled
undue	unjust, excessive 
unmoved	firm, steadfast
undulate	surge, fluctuate 
unprecedented	without previous occurrence
unduly	excessive
unequivocal	unambiguous, categorical
unmitigated	complete, harsh
unremitting	relentless
unsavory	distasteful, offensive
unexceptionable	beyond criticism 
unscathed	unhurt
unfailing	steadfast, unfaltering 
unseat	displace
unfathomable	puzzling, incomprehensible unseemly 
unbecoming,	improper
unflagging	untiring, unrelenting
unstinting	generous
unsullied	spotless, pure vanquish conquer
unsung	neglected, not receiving just recognition 
vapid	vacuous, insipid
untenable	cannot be achieved
untoward	perverse, unseemly
unwarranted	unjustified
unwieldy	awkward
variance	discrepancy
vassal	subject, subordinate
vaunt	brag
vehement	adamant
unwitting	unintentional 
venal	mercenary, for the sake of money
upshot	result vendetta grudge, feud
urbane	refined, worldly 
veneer	false front, facade
ursine	bear-like 
venerable	revered
usurp	seize, to appropriate 
venial	excusable
usury	lending money at high rates 
venom	poison, spite
utilitarian	pragmatic, useful 
venture	risk, speculate
utopia	paradise 
venturesome	bold, risky
utter	complete 
venue	location
uxorious	a doting husband
veracity	truthfulness
veranda	porch
verbatim	word for word, literal
vacillate	waver 
verbose	wordy
vacuous	inane, empty 
verdant	green, lush
vagary	whim 
verdict	decision, judgment
vain	unsuccessful 
vernacular	common speech
vainglorious	conceited 
vertigo	dizziness
valediction	farewell speech 
vestige	trace, remnant
valiant	brave veto reject
validate	affirm, authenticate 
vex	annoy
valor	bravery 
viable	capable of surviving, feasible
vanguard	leading position 
viaduct	waterway
viand	food 
vitiate	spoil, ruin
vicious	evil, cruel 
vitreous	glassy
vicissitude	changing fortunes 
vitriolic	scathing
victuals	food 
vituperative	abusive, critical language
vie	compete 
vivacious	lively, high-spirited
vigil	watch, sentry duty 
vivid	lifelike, clear
vigilant	on guard 
vivisection	experimentation on animals, dissection
vignette	scene
vigor	vitality
vilify	defame, malign
vindicate	free from blame
vindictive	revengeful
virile	manly, strong
virtuoso	highly skilled artist
virulent	deadly, poisonous, infectious
visage	facial expression
viscid	thick, gummy
visitation	a formal visit
vital	necessary
vocation	occupation
vociferous	adamant, clamoring
vogue	fashion, chic
volant	agile
volatile	unstable, precarious
volition	free will
voluble	talkative
voluminous	bulky, extensive
voracious	hungry
votary	fan, aficionado
vouchsafe	confer, bestow
vulgarity	obscenity
vulnerable	susceptible 
winnow	separate
vulpine	fox-like, cunning
winsome	charmingly innocent
wager	bet
waggish	playful
waive	forego
wallow	indulge
wan	pale, pallid, listless
wane	dissipate, wither
want	need, poverty, lack of
wanton	lewd, abandoned, gratuitous
warrant	justification
wary	guarded, cautious
wastrel	spendthrift
waylay	ambush, accost
wean	remove from nursing, break a habit
weir	dam
welter	confusion, hodgepodge
wheedle	to coax with flattery
whet	stimulate
whiffle	vacillate
wistful	sad yearning, melancholy
wither	shrivel
wizened	shriveled
woe	anguish, despair
wont	custom, habit
woo	court, seek favor
wraith	ghost
wrath	anger, fury
wreak	to inflict something violent
wrest	snatch
wretched	miserable
writ	summons, court order
writhe	contort, thrash about
wry	twisted, ironic sense of humor
xenophillic	attraction to strangers
xenophobia	fear of foreigners
xylophone	musical percussion instrument
whimsical	capricious, playful
wield	exercise control 
yarn	story, tale
willful	deliberate, wanton 
yearn	desire strongly
wily	shrewd, crafty 
yen	desire, yearning
wince	cringe 
yore	long ago
windfall	bonus, boon 
Young Turks	reformers
zeal	earnestness, passion
zealot	fanatic
zenith	summit
zephyr	gentle breeze
