Dataset	Domain	Sent1	Sent2	Sent1_original	Sent2_original
STS2017	track4a.es-en	The man is with a dog.	The dog is with a woman.	El hombre está con un perro.	The dog is with a woman.
STS2017	track4a.es-en	A well dressed man walking through a rural area	A man and a boy are walking in a deserted area.	Un hombre bien vestido caminando por una zona rural	A man and a boy are walking in a deserted area.
STS2017	track4a.es-en	An African American woman looking into a microscope with images of microorganisms on her desk.	A woman and a girl view a piece of artwork up close.	Una mujer afroamericana mirando en un microscopio con imágenes de microorganismos en su escritorio.	A woman and a girl view a piece of artwork up close.
STS2017	track4a.es-en	A shaved man runs at full speed down the sidewalk with a white leotard.	A young woman with a shave head in a brown skirt and sandals walking past a stone building.	Un hombre afeitado corre a toda velocidad por la acera con un leotardo blanco.	A young woman with a shave head in a brown skirt and sandals walking past a stone building.
STS2017	track4a.es-en	A woman and a man are kissing on the boardwalk.	A man is sleeping between two flags.	Una mujer y un hombre se están besando en el paseo tablado.	A man is sleeping between two flags.
STS2017	track4a.es-en	A man standing on a cliff.	A man on a cliff.	Un hombre de pie en un acantilado.	A man on a cliff.
STS2017	track4a.es-en	The bird is on the tree	The bird sits on the tree branch.	El pájaro está en el árbol	The bird sits on the tree branch.
STS2017	track4a.es-en	Cyclists in a bicycle race turn abruptly to the left.	A rally race car is navigating around a turn on a race course surrounded by hay bails.	Los ciclistas en una carrera de bicicletas giran bruscamente a la izquierda.	A rally race car is navigating around a turn on a race course surrounded by hay bails.
STS2017	track4a.es-en	Two women compete in a kick-boxing fight.	Two women compete in a soccer match.	Dos mujeres compiten en uma pelea de kick-boxing.	Two women compete in a soccer match.
STS2017	track4a.es-en	Women are auditioning for Swan Lake.	Some boys are going swimming in the lake.	Las mujeres están audicionando para el Lago de los Cisnes.	Some boys are going swimming in the lake.
STS2017	track4a.es-en	The children are playing football.	The boys are playing baseball.	Los niños están jugando fútbol americano.	The boys are playing baseball.
STS2017	track4a.es-en	Two children are sitting on a beach.	Two girls prepare a small sailboat as two boys watch them from the beach.	Dos niños están sentándose en una playa.	Two girls prepare a small sailboat as two boys watch them from the beach.
STS2017	track4a.es-en	He successfully completes a set of martial arts moves.	A martial arts student kicks a wooden board to advance in his rank.	Él completa con éxito un conjunto de movimientos de artes marciales.	A martial arts student kicks a wooden board to advance in his rank.
STS2017	track4a.es-en	The man with the yellow team is about to rappel from a high distance.	A person in black is off in the distance.	El hombre con el equipo amarillo está a punto de hacer rapel desde una distancia alta.	A person in black is off in the distance.
STS2017	track4a.es-en	Construction workers sit near a railroad track.	A line of construction workers walk along a train track under an overpass.	Los trabajadores de construcción se sientan cerca de una vía de ferrocarril.	A line of construction workers walk along a train track under an overpass.
STS2017	track4a.es-en	The grumpy guy is playing an instrument outside	there is a guy playing an instrument.	El tipo gruñón está tocando un instrumento afuera	there is a guy playing an instrument.
STS2017	track4a.es-en	Three photographers taking a picture of a skater doing a trick on one of the photographers.	The photographer is taking a picture of four women looking at the camera with blank faces.	Tres fotógrafos tomando una foto de un patinador que realiza un truco sobre uno de los fotógrafos.	The photographer is taking a picture of four women looking at the camera with blank faces.
STS2017	track4a.es-en	Three young men stand against a wall conversing as a young boy looks forward holding a poster.	Two young boys hold a man's hands.	Tres hombres jóvenes se paran contra una pared conversando mientras que un muchacho joven mira hacia adelante sosteniendo un cartel.	Two young boys hold a man's hands.
STS2017	track4a.es-en	Small Asian children getting ready for a sport game.	The kids are playing a friendly game of one on one soccer.	Pequeños niños asiáticos preparándose para un juego deportivo.	The kids are playing a friendly game of one on one soccer.
STS2017	track4a.es-en	A man is roasting duck in his oven	A man having a piece of chicken.	Un hombre está asando pato en su horno	A man having a piece of chicken.
STS2017	track4a.es-en	The performance will be on the news.	The sign has at least one word on it.	La actuación estará en las noticias.	The sign has at least one word on it.
STS2017	track4a.es-en	A dog sniffs another dog.	a dog chases another dog.	Un perro olfatea otro perro.	a dog chases another dog.
STS2017	track4a.es-en	The musician decided to stay home tonight.	The man waited until night to go home.	El músico decidió quedarse en casa esta noche.	The man waited until night to go home.
STS2017	track4a.es-en	The two men in blue jackets are brothers.	The two men in blue jackets are sitting down.	Los dos hombres con chaquetas azules son hermanos.	The two men in blue jackets are sitting down.
STS2017	track4a.es-en	Several people are walking.	There are several people walking.	Varias personas están caminando.	There are several people walking.
STS2017	track4a.es-en	A farmer gathers his cows.	A farmer drives on two cattle to plow a field for his work as he grows corn crops	Un granjero reúne sus vacas.	A farmer drives on two cattle to plow a field for his work as he grows corn crops
STS2017	track4a.es-en	Three people stare at the screens of the mobile phone.	Three people are smiling at the camera.	Tres personas miran fijamente las pantallas del teléfono móvil.	Three people are smiling at the camera.
STS2017	track4a.es-en	A woman tries to keep children away from her parents.	Man giving the child back to parents	Una mujer trata de alejar a los niños de sus padres.	Man giving the child back to parents
STS2017	track4a.es-en	A man comes to work with the cables above a desk.	Man puts his feet up on a desk.	Un hombre llega a trabajar con los cables por encima de un escritorio.	Man puts his feet up on a desk.
STS2017	track4a.es-en	The rock is about to fall on the man.	The rock holding the boy is about to roll.	La roca está a punto de caer sobre el hombre.	The rock holding the boy is about to roll.
STS2017	track4a.es-en	The girl is walking	the boy is walking	La niña está caminando	the boy is walking
STS2017	track4a.es-en	A child wears a David Wright T-shirt outdoors.	A young man is wearing a suit outdoors.	Un niño viste una camiseta de David Wright al aire libre.	A young man is wearing a suit outdoors.
STS2017	track4a.es-en	The man's sweatshirt is gray.	the man is wearing gray	La sudadera del hombre es gris.	the man is wearing gray
STS2017	track4a.es-en	A woman wearing black pants is holding a piercing hammer next to a broken concrete walkway.	A woman wearing a blue skirt is on a walkway looking at a body of water.	Una mujer que viste pantalones negros está sosteniendo un martillo perforador al lado de una calzada de cemento roto.	A woman wearing a blue skirt is on a walkway looking at a body of water.
STS2017	track4a.es-en	A group of people pose in front of the ocean.	A small group of people are sitting on the bank of a large body of water in the grass.	Un grupo de personas posan delante del océano.	A small group of people are sitting on the bank of a large body of water in the grass.
STS2017	track4a.es-en	A man and a boy are fixing a truck in a garage.	A man is working on a truck.	Un hombre y un niño están arreglando un camión en un garaje.	A man is working on a truck.
STS2017	track4a.es-en	A guy repairs a jacket.	A man repairs a shoe.	Un tipo repara una chaqueta.	A man repairs a shoe.
STS2017	track4a.es-en	The man dances in the street while another man looks.	A woman and a man are dancing in the street.	El hombre baila en la calle mientras otro mira.	A woman and a man are dancing in the street.
STS2017	track4a.es-en	Boys play in a park	people playing a game at the park	Chicos juegan en un parque	people playing a game at the park
STS2017	track4a.es-en	Two competitors are in a race.	Three runners are racing.	Dos competidores están en un carrera.	Three runners are racing.
STS2017	track4a.es-en	The men in blue stand at the column.	Woman in pink top walking past 3 men sitting on the steps.	Los hombres en azul se paran ante la columna.	Woman in pink top walking past 3 men sitting on the steps.
STS2017	track4a.es-en	An old woman looks at life on a park bench.	An old man lays on a park bench.	Una anciana contempla la vida en un banco del parque.	An old man lays on a park bench.
STS2017	track4a.es-en	A dental procedure.	A child is receiving painful dental surgery	Un procedimiento dental.	A child is receiving painful dental surgery
STS2017	track4a.es-en	Children have very clean faces.	Some people are making funny faces while they get their picture taken.	Los niños tienen caras muy limpias.	Some people are making funny faces while they get their picture taken.
STS2017	track4a.es-en	The couple was away on their honeymoon	The couple smiles before leaving for their honeymoon.	La pareja estaba lejos en su luna de miel	The couple smiles before leaving for their honeymoon.
STS2017	track4a.es-en	Sled dogs are outside.	The dogs are pulling a sled.	Los perros de trineo están afuera.	The dogs are pulling a sled.
STS2017	track4a.es-en	A group of butchers are trying recipes made with meat that they cut.	The cooks are putting together the ingredients for a massive burrito.	Un grupo de carniceros están probando recetas hechas con carne que cortan.	The cooks are putting together the ingredients for a massive burrito.
STS2017	track4a.es-en	A man doing windsurfing in the ocean.	A man is snorkeling in the ocean.	Un hombre haciendo windsurf en el océano.	A man is snorkeling in the ocean.
STS2017	track4a.es-en	A child on the shoulders of a man.	a man and a boy in shorts stand on a bridge	Un niño sobre los hombros de un hombre.	a man and a boy in shorts stand on a bridge
STS2017	track4a.es-en	A man in a skating park is doing an ollie in a half-pipe in front of the beach	A man in a skate park is doing an ollie in a half-pipe near the beach	Un hombre en un parque de patinaje está haciendo un ollie en un half-pipe frente a la playa	A man in a skate park is doing an ollie in a half-pipe near the beach
STS2017	track4a.es-en	The man has a beard.	A bearded man is outside.	El hombre tiene barba.	A bearded man is outside.
STS2017	track4a.es-en	Two women waiting for the light of the pedestrian crossing to change to green.	The people are waiting for the light to turn green.	Dos mujeres esperando que la luz del paso peatonal cambie a verde.	The people are waiting for the light to turn green.
STS2017	track4a.es-en	Women clean the debris left on their porch	Woman inside sweeping the floor.	Las mujeres limpian los escombros dejados en su porche	Woman inside sweeping the floor.
STS2017	track4a.es-en	Illegal loggers felled a giant tree in the spring forest.	The spotted dog chews on the bark of a pine tree.	Los madereros ilegales talaron un árbol gigante en el bosque primaveral.	The spotted dog chews on the bark of a pine tree.
STS2017	track4a.es-en	An athlete is moving.	The athlete is moving.	Un atleta se está moviendo.	The athlete is moving.
STS2017	track4a.es-en	The two children are playing hide and seek.	the boys are home playing hide and seek	Los dos niños están jugando a las escondidas.	the boys are home playing hide and seek
STS2017	track4a.es-en	A man wears a hat and waits for a bus.	A man in a blue shirt and a hat is sitting in a truck.	Un hombre usa un sombrero y espera un bus.	A man in a blue shirt and a hat is sitting in a truck.
STS2017	track4a.es-en	A man building his house.	A man building a house.	Un hombre construyendo su casa.	A man building a house.
STS2017	track4a.es-en	Garden tools are in the greenhouse	The street is empty and the buildings are white.	Las herramientas de jardín están en el invernadero	The street is empty and the buildings are white.
STS2017	track4a.es-en	She is walking through the public park.	A person is walking through the park.	Ella está caminando a través del parque público.	A person is walking through the park.
STS2017	track4a.es-en	A man in a red sweater waits at a street food stand.	A little girl is standing on the street, holding a red bag.	Un hombre con un suéter rojo espera en un stand de comida callejera.	A little girl is standing on the street, holding a red bag.
STS2017	track4a.es-en	A man has brown hair along with a woman who has blonde hair.	a women with blonde and brown hair has her arms around a man	Un hombre tiene el cabello castaño junto con una mujer que tiene cabello rubio.	a women with blonde and brown hair has her arms around a man
STS2017	track4a.es-en	A little boy is outside.	A woman is near a little kid.	Un niño pequeño está afuera.	A woman is near a little kid.
STS2017	track4a.es-en	A man juggles a crowd.	A man and a crowd.	Un hombre hace malabares para una multitud.	A man and a crowd.
STS2017	track4a.es-en	A black dog running very fast with a blond woman running after him in the background.	A young girl doing a back flip in the water.	Un perro negro corriendo muy rápido con una mujer rubia corriendo tras él en el fondo.	A young girl doing a back flip in the water.
STS2017	track4a.es-en	A woman sitting on a chair showing children a book.	A female child turns the page of a book while she sits on a colorful stool	Una mujer sentada en una silla mostrando a los niños un libro.	A female child turns the page of a book while she sits on a colorful stool
STS2017	track4a.es-en	Two men in suits are cycling through a crosswalk.	Two men are jogging on a trail.	Dos hombres con trajes andan en bicicleta por un cruce de peatones.	Two men are jogging on a trail.
STS2017	track4a.es-en	Two men taking the warm sun.	The men are in the hot sun.	Dos hombres tomando el cálido sol.	The men are in the hot sun.
STS2017	track4a.es-en	Two people are standing outside a shop on a city street.	The people are standing in a crowded store.	Dos personas están de pie fuera de una tienda en una calle de la ciudad.	The people are standing in a crowded store.
STS2017	track4a.es-en	Bicycles are on a road.	Bicycles are laying on the side of the road.	Las bicicletas están en una carretera.	Bicycles are laying on the side of the road.
STS2017	track4a.es-en	People pay for their purchases in the store.	Families wait to enter the store for a big sale.	La gente paga por sus compras en la tienda.	Families wait to enter the store for a big sale.
STS2017	track4a.es-en	The guy is at home sleeping.	The guy is sleeping at home.	El tipo está en casa durmiendo.	The guy is sleeping at home.
STS2017	track4a.es-en	The boy finished opening all his Christmas presents.	A woman is in the process of changing her clothes for her big date tonight.	El niño terminó de abrir todos sus regalos de Navidad.	A woman is in the process of changing her clothes for her big date tonight.
STS2017	track4a.es-en	People are happy to be on the beach.	People are at a beach.	La gente está feliz de estar en la playa.	People are at a beach.
STS2017	track4a.es-en	The lady is sitting near the fruit.	A lady in green is walking outside.	La dama está sentada cerca de la fruta.	A lady in green is walking outside.
STS2017	track4a.es-en	The white child is on the bars, while the brown is on the bottom.	The two girls are in the water and one has a white shirt on.	El niño de color blanco está en las barras, mientras que el de color marrón está de pie abajo.	The two girls are in the water and one has a white shirt on.
STS2017	track4a.es-en	Waitress working at a restaurant cutting watermelon.	a restaurant makes vegetables for everyone who enters	Mesera trabajando en un restaurante cortando sandía.	a restaurant makes vegetables for everyone who enters
STS2017	track4a.es-en	A man is shopping in the middle.	A man is shopping in a mall.	Un hombre está haciendo compras en el centro.	A man is shopping in a mall.
STS2017	track4a.es-en	A hockey player is skating on ice.	A hockey player is sitting on the ice.	Un jugador de hockey está patinando sobre hielo.	A hockey player is sitting on the ice.
STS2017	track4a.es-en	There's a woman riding a horse.	A person is riding a horse outside.	Hay una mujer montando a caballo.	A person is riding a horse outside.
STS2017	track4a.es-en	A man in a store	A man in a supermarket.	Un hombre en una tienda	A man in a supermarket.
STS2017	track4a.es-en	A man jumping in the air	A man is jumping into the air.	Un hombre saltando en el aire	A man is jumping into the air.
STS2017	track4a.es-en	The dog is asleep in bed.	A dog is asleep on the bed.	El perro está dormido en la cama.	A dog is asleep on the bed.
STS2017	track4a.es-en	Three swimmers are getting ready to start their swimming competition.	The swimming competitors prepare for their meet.	Tres nadadores se están preparando para que comience su competencia natación.	The swimming competitors prepare for their meet.
STS2017	track4a.es-en	The two men are running.	two of the three men are running.	Los dos hombres están corriendo.	two of the three men are running.
STS2017	track4a.es-en	A man is reading a book near the fireplace.	A man is reading a book on the couch.	Un hombre está leyendo un libro cerca de la chimenea.	A man is reading a book on the couch.
STS2017	track4a.es-en	The man is standing after his performance on the play.	the person is taking a break from the game in the picture	El hombre está de pie después de su actuación en la obra.	the person is taking a break from the game in the picture
STS2017	track4a.es-en	A little girl running in a field	A little girl is running in a field.	Una niña pequeña corriendo en un campo	A little girl is running in a field.
STS2017	track4a.es-en	A group of people watches as the bride and groom exchange their vows.	A group of people wait for their turn to cross the street.	Un grupo de personas mira como la novia y el novio intercambian sus votos.	A group of people wait for their turn to cross the street.
STS2017	track4a.es-en	After the birth of a baby, the nurses make sure that it is okay.	The woman is getting ready for the day.	Después del nacimiento de un bebé, las enfermeras se aseguran de que está bien.	The woman is getting ready for the day.
STS2017	track4a.es-en	Two men standing in a sleeping area.	Three men are walking in front of a tent.	Dos hombres de pie en un área para dormir.	Three men are walking in front of a tent.
STS2017	track4a.es-en	A man is pumping air on the tires of his bicycle.	A man is pumping air into his bicycle.	Un hombre está bombeando aire en las llantas de su bicicleta.	A man is pumping air into his bicycle.
STS2017	track4a.es-en	The man was talking on the phone in the bathroom.	A man is by the door looking at his phone.	El hombre estaba hablando por teléfono en el baño.	A man is by the door looking at his phone.
STS2017	track4a.es-en	A man asleep in a fountain outdoors.	A man is looking at an outdoor shower.	Un hombre dormido en una fuente al aire libre.	A man is looking at an outdoor shower.
STS2017	track4a.es-en	A woman running down the street holding an accordion.	A man in a business suit walks down the street.	Una mujer corriendo por la calle sosteniendo un acordeón.	A man in a business suit walks down the street.
STS2017	track4a.es-en	A little boy taking photos.	A man and little boy are getting a picture taken.	Un niño pequeño tomando fotos.	A man and little boy are getting a picture taken.
STS2017	track4a.es-en	A woman giving a lecture on the property tax.	A man is working at a cash register.	Una mujer dando una conferencia sobre el impuesto a la propiedad.	A man is working at a cash register.
STS2017	track4b.es-en	Counterfeiters from China and Indonesia will bring lots more of these products down to sell on the streets of Australia.	Counterfeiters from China and Indonesia will bring much more of these products to market on the streets of Australia.	Counterfeiters from China and Indonesia will bring lots more of these products down to sell on the streets of Australia.	Los falsificadores de China e Indonesia aportará mucho más de estos productos a vender en las calles de Australia.
STS2017	track4b.es-en	Professor Larson said he did not know whether the boredom percentages now, 21 years later, would be higher or lower.	Professor Larson said he did not know if boredom percentages now, 21 years later, would be higher or lower.	Professor Larson said he did not know whether the boredom percentages now, 21 years later, would be higher or lower.	El profesor Larson dijo que no sabía si el aburrimiento porcentajes ahora, 21 años después, sería superior o inferior.
STS2017	track4b.es-en	The hearing focuses on Manning's time in the military brig at Quantico, Virginia	The hearing centers on Manning's time at Quantico Military Prison, Virginia	The hearing focuses on Manning's time in the military brig at Quantico, Virginia	La audiencia se centra en el tiempo de Manning en la prisión militar de Quantico, Virginia
STS2017	track4b.es-en	My wife, who was born in Guadalajara and came to the United States legally as a child, reminds me that there is friction between Mexicans and Mexican-Americans because Mexicans have a firmer grasp of who they are and Mexican-Americans resent that.	My wife, who was born in Guadalajara and came to the United States legally as a child, reminds me that there are frictions between Mexicans and Mexicans because Mexicans have a deeper understanding of who they are and Mexican-Americans who bother them.	My wife, who was born in Guadalajara and came to the United States legally as a child, reminds me that there is friction between Mexicans and Mexican-Americans because Mexicans have a firmer grasp of who they are and Mexican-Americans resent that.	Mi esposa, que nació en Guadalajara y llegó a los Estados Unidos legalmente como un niño, me recuerda que hay fricciones entre los mexicanos y mexicano-americanos porque los mexicanos tienen una comprensión más profunda de quiénes son y mexicano-estadounidenses que les molesta.
STS2017	track4b.es-en	Freeman noted an increase in "average Joe" reviews of brands on social media sites such as YouTube, Twitter and Facebook.	Freeman noted an increase in average "Joe" brand surveys on social media sites such as YouTube, Twitter and Facebook.	Freeman noted an increase in "average Joe" reviews of brands on social media sites such as YouTube, Twitter and Facebook.	Freeman observó un aumento en la media "Joe" exámenes de marcas en los medios sociales de sitios como YouTube, Twitter y Facebook.
STS2017	track4b.es-en	"Colorado has a more regulated market, so they will be a good guide," said Brian E. Smith, a spokesman for the Washington State Liquor Control Board.	"Colorado has a regulated market, so it will be a good guide," said Brian E. Smith, a spokesman for the Washington State Alcohol Control Board.	"Colorado has a more regulated market, so they will be a good guide," said Brian E. Smith, a spokesman for the Washington State Liquor Control Board.	El "Colorado tiene un mercado regulado, por lo que será una buena guía", dijo Brian E. Smith, portavoz de la Junta de Control de bebidas alcohólicas del Estado de Washington.
STS2017	track4b.es-en	You want to talk about hard feelings?	You want to talk about bad feelings?	You want to talk about hard feelings?	Usted quiere hablar de malos sentimientos?
STS2017	track4b.es-en	Rather, our goal should be to feel comfortable away from the constant chatter of activity and technology.	Rather, our goal should be to feel comfortable outside the constant chats of activity and technology.	Rather, our goal should be to feel comfortable away from the constant chatter of activity and technology.	Más bien, nuestro objetivo debe ser sentirse cómodo fuera de las constantes charlas de actividad y la tecnología.
STS2017	track4b.es-en	It would be so much easier if he did.	"It would be much easier if he did."	It would be so much easier if he did.	"Sería mucho más fácil si lo hizo".
STS2017	track4b.es-en	A few of these people will become heroes.	Some of these people become heroes.	A few of these people will become heroes.	Algunas de estas personas se convierten en héroes.
STS2017	track4b.es-en	Days after the Obama administration threatened to delay approval of a planned oil pipeline from Canada to the Gulf of Mexico -- angering unions while appeasing environmentalists -- the company seeking to build the pipeline says it's willing to reroute the project to get it back on track.	Days after the Obama administration threatened to delay approval of an oil pipeline from Canada to the Gulf of Mexico - it irritates unions and appease environmentalists - the company intends to build the pipeline says it is willing to reroute the project to put it Back on track.	Days after the Obama administration threatened to delay approval of a planned oil pipeline from Canada to the Gulf of Mexico -- angering unions while appeasing environmentalists -- the company seeking to build the pipeline says it's willing to reroute the project to get it back on track.	Días después de la administración Obama amenazó con retrasar la aprobación de un oleoducto desde Canadá hasta el Golfo de México -- irrita a los sindicatos y a apaciguar a los ecologistas -- la empresa pretende construir el gasoducto dice que está dispuesto a reroute el proyecto para ponerlo de nuevo en marcha.
STS2017	track4b.es-en	What they want is that one simply accepts what they say and shuts up.	What they want is that one simply accepts what they say and closes.	What they want is that one simply accepts what they say and shuts up.	Lo que quieren es que uno simplemente acepta lo que dicen y cierra.
STS2017	track4b.es-en	But I'll get back to that.	But I'm going back to that.	But I'll get back to that.	Pero voy a volver a eso.
STS2017	track4b.es-en	Europe's monetary union has been badly undermined by a sovereign debt crisis in past months.	The European monetary union has been badly affected by a sovereign debt crisis in recent months.	Europe's monetary union has been badly undermined by a sovereign debt crisis in past months.	La unión monetaria europea ha sido gravemente afectada por una crisis de deuda soberana en los últimos meses.
STS2017	track4b.es-en	Tucked away under motorway flyovers, it is in many ways a suburb of Mexico City itself.	Tucked under the freeway overpasses, it is, in many ways, a suburb of Mexico City.	Tucked away under motorway flyovers, it is in many ways a suburb of Mexico City itself.	Escondida bajo la autopista pasos elevados, es, en muchos sentidos, un suburbio de la ciudad de México.
STS2017	track4b.es-en	A male friend of mine, also a Tory supporter, had succumbed to pressure and renounced his creed.	A friend of mine, also a conservative defender, had succumbed to the pressure and renounced his creed.	A male friend of mine, also a Tory supporter, had succumbed to pressure and renounced his creed.	Un amigo mío, también un defensor conservador, había sucumbido a la presión y renunció a su credo.
STS2017	track4b.es-en	It is not an option, it is an imperative, because where do we find employment for tens of millions of our young men and women.	"It's not an option, it's an imperative, because where we can find employment tens of millions of our young men and women."	It is not an option, it is an imperative, because where do we find employment for tens of millions of our young men and women.	"No es una opción, es un imperativo, porque donde podemos encontrar empleo a decenas de millones de nuestros jóvenes hombres y mujeres".
STS2017	track4b.es-en	Amid the usual futile arguments over who started it, scores of buildings have been reduced to rubble; more than 140 Palestinians, most of them civilians, and six Israelis have been killed; and, for the first time, missiles from Gaza have landed near Tel Aviv, Israel's metropolis, and the holy city of Jerusalem.	In the usual futile arguments about who started, dozens of buildings have been reduced to rubble; More than 140 Palestinians, most of them civilians, and six Israelis have been killed; And for the first time missiles from Gaza have landed near Tel Aviv, the capital of Israel, and the holy city of Jerusalem.	Amid the usual futile arguments over who started it, scores of buildings have been reduced to rubble; more than 140 Palestinians, most of them civilians, and six Israelis have been killed; and, for the first time, missiles from Gaza have landed near Tel Aviv, Israel's metropolis, and the holy city of Jerusalem.	En medio de la habitual fútiles argumentos sobre quién comenzó, decenas de edificios han quedado reducidos a escombros; más de 140 palestinos, la mayoría de ellos civiles, y seis israelíes han sido asesinados; y, por primera vez, misiles desde Gaza han aterrizado cerca de Tel Aviv, capital de Israel, y la ciudad santa de Jerusalén.
STS2017	track4b.es-en	Boeing Co shares rose 1.5% to $67.94.	Boeing Co shares increased 1.5% to $ 67.94.	Boeing Co shares rose 1.5% to $67.94.	Boeing Co comparte aumentó un 1,5% a $67.94.
STS2017	track4b.es-en	And, in the homeland of my grandfather, there was no need for shorthand or hyphens.	And, in my grandfather's homeland, there is no need for shorthand or hyphens.	And, in the homeland of my grandfather, there was no need for shorthand or hyphens.	Y, en la tierra natal de mi abuelo, no hay necesidad de taquigrafía o guiones.
STS2017	track4b.es-en	But the praise comes with a price, service members say.	But the compliments come with a price, say service members.	But the praise comes with a price, service members say.	Pero los elogios llega con un precio, dicen los miembros del servicio.
STS2017	track4b.es-en	Maybe the hardliners will win out; yet the Arab spring may change their calculations.	Perhaps the hard line will triumph; However, the Arab Spring can change its calculations.	Maybe the hardliners will win out; yet the Arab spring may change their calculations.	Tal vez la línea dura triunfará; sin embargo, la primavera árabe puede cambiar sus cálculos.
STS2017	track4b.es-en	Roseanna Monk said she stopped near the door and put her daughter down for a moment.	Roseanna Monk said she left near the door and put her daughter for a moment.	Roseanna Monk said she stopped near the door and put her daughter down for a moment.	Roseanna Monk dijo que dejó cerca de la puerta y poner a su hija durante un momento.
STS2017	track4b.es-en	I'm afraid you're on your own, amigos.	I'm afraid you're on your own, friends.	I'm afraid you're on your own, amigos.	Me temo que estás en tu propio, amigos.
STS2017	track4b.es-en	He's a very straightforward man, very committed with an excellent vision of the country.	He is a very simple man, very committed to an excellent vision of the country.	He's a very straightforward man, very committed with an excellent vision of the country.	Él es un hombre muy sencillo, muy comprometido con una excelente visión del país.
STS2017	track4b.es-en	TransCanada said Monday evening it will move the planned pipeline out of the environmentally sensitive Sandhills area of Nebraska, and is confident the project will still win approval.	TransCanada said Monday afternoon it will move the pipeline planned outside the ecologically sensitive Sandhills area of Nebraska, and is confident that the project will be approved yet.	TransCanada said Monday evening it will move the planned pipeline out of the environmentally sensitive Sandhills area of Nebraska, and is confident the project will still win approval.	TransCanada dijo el lunes por la tarde se trasladará el oleoducto previsto fuera de la zona ecológicamente sensibles Sandhills de Nebraska, y confía en que el proyecto será aprobado todavía.
STS2017	track4b.es-en	Manning responded that he would verbally express concern about issues and that the visiting officers would talk through the concerns and indicate that they would be addressed, but they didn't record the issues.	The crew responded that they would verbally express concern about issues and that visiting officials would talk through the concerns and indicate that they would be addressed but not record the issues.	Manning responded that he would verbally express concern about issues and that the visiting officers would talk through the concerns and indicate that they would be addressed, but they didn't record the issues.	La tripulación respondió que iba verbalmente expresan preocupación por temas y que los funcionarios visitantes se habla a través de las preocupaciones e indicar que serían abordados, pero no registrar las cuestiones.
STS2017	track4b.es-en	Mission over, Congress ready to agree on Libya	During the mission, the Congress willing to agree on Libya	Mission over, Congress ready to agree on Libya	Durante la misión, el Congreso dispuesto a ponerse de acuerdo sobre Libia
STS2017	track4b.es-en	The language may sound innocuous, but nothing about the Libya debate has been easy so far.	The language may seem innocuous, but nothing about the Libyan debate has been easy so far.	The language may sound innocuous, but nothing about the Libya debate has been easy so far.	El lenguaje puede parecer inocuos, pero nada sobre la Libia debate ha sido fácil hasta ahora.
STS2017	track4b.es-en	Most Americans probably never give a thought to the fact that, in 1848, the United States invaded Mexico and forced its leaders to sign over half their territory at the point of rifle.	Most Americans will probably never reflect on the fact that in 1848 the United States invaded Mexico and forced its leaders to sign more than half of their territory at gunpoint.	Most Americans probably never give a thought to the fact that, in 1848, the United States invaded Mexico and forced its leaders to sign over half their territory at the point of rifle.	La mayoría de los estadounidenses probablemente nunca reflexionar sobre el hecho de que, en 1848, los Estados Unidos invadió México y obligó a sus dirigentes a firmar más de la mitad de su territorio a punta de fusil.
STS2017	track4b.es-en	Mr Obama also has a part in getting Israel to the table.	Mr. Obama also has a role in getting Israel to the table.	Mr Obama also has a part in getting Israel to the table.	El señor Obama también tiene un papel para llegar a Israel a la mesa.
STS2017	track4b.es-en	"It's a cultural barrier" with district attorneys, said Sean McAllister, a Denver lawyer who represents marijuana defendants and is a local spokesman for the National Organization for the Reform of Marijuana Laws.	"It's a cultural barrier" with district attorneys, said Sean McAllister, a Denver lawyer who represents marijuana defendants and a local spokesman for the National Organization for the Reform of Marijuana Laws.	"It's a cultural barrier" with district attorneys, said Sean McAllister, a Denver lawyer who represents marijuana defendants and is a local spokesman for the National Organization for the Reform of Marijuana Laws.	"Es una barrera cultural" con los abogados de distrito, dijo Sean McAllister, un abogado de Denver que representa a los acusados de marihuana y un portavoz local de la Organización Nacional para la Reforma de las Leyes de la Marihuana.
STS2017	track4b.es-en	"Even from a very early age you can see that kids understand the message that the tobacco company is trying to sell through their branding," said the federal health minister, Tanya Plibersek, citing studies that showed, for example, children linking a crown in a logo with the idea of being a princess.	"Even from an early age you can see children understand the message that the tobacco company is trying to sell through its image," federal health minister Tanya Plibersek said, citing studies showing, for example, children That unites a crown in a logo with the idea of being a princess.	"Even from a very early age you can see that kids understand the message that the tobacco company is trying to sell through their branding," said the federal health minister, Tanya Plibersek, citing studies that showed, for example, children linking a crown in a logo with the idea of being a princess.	"Incluso desde muy temprana edad puede ver que los niños entiendan el mensaje de que la empresa tabacalera está tratando de vender a través de su imagen", dijo el ministro de salud federal, Tanya Plibersek, citando estudios que muestran, por ejemplo, los niños que une una corona en un logotipo con la idea de ser una princesa.
STS2017	track4b.es-en	During his first term, he neglected to present his own plan for peace.	During his first term, he forgot to present his own peace plan.	During his first term, he neglected to present his own plan for peace.	Durante su primer mandato, que se olvidó presentar su propio plan de paz.
STS2017	track4b.es-en	"So, I would say, "Gabby, you have not been beaten,"?" Kelly said.	"Then, I would say," Gabby, they have not been beaten, "Kelly said.	"So, I would say, "Gabby, you have not been beaten,"?" Kelly said.	"Entonces, yo diría," Gabby, no han sido golpeados ", dijo Kelly.
